Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Ocmulgee Mounds,NHP,NPS,GA,,https://www.nps.gov/ocmu
,,Olympic,NP,NPS,WA,,https://www.nps.gov/olym/
,,Oregon Caves,NM,NPS,OR,,https://www.nps.gov/orca/
,,Organ Mountains-Desert Peaks,NM,BLM,NM,,https://www.blm.gov/programs/national-conservation-lands/new-mexico/organ-mountains-desert-peaks-national-monument
,,Organ Pipe Cactus,NM,NPS,AZ,,https://www.nps.gov/orpi/
,,Ozark,NSRW,NPS,MO,,https://www.nps.gov/ozar/
,,Padre Island,NS,NPS,TX,,https://www.nps.gov/pais/
,,Palo Alto Battlefield,NHP,NPS,TX,,https://www.nps.gov/paal/
,,Paterson Great Falls,NHP,NPS,NJ,,https://www.nps.gov/pagr
,,Pea Ridge,NMP,NPS,AR,,https://www.nps.gov/peri/
,,Pearl Harbor,NMEM,NPS,HI,,https://www.nps.gov/valr/index.htm
,,Pecos,NHP,NPS,NM,,https://www.nps.gov/peco/
,,Pennsylvania Avenue,NHS,NPS,DC,,https://www.nps.gov/paav/
,,Perry’s Victory and International Peace Memorial,NMEM,NPS,OH,,https://www.nps.gov/pevi/
,,Petersburg,NB,NPS,VA,,https://www.nps.gov/pete/
,,Petrified Forest,NP,NPS,AZ,,https://www.nps.gov/pefo/
,,Petroglyph,NM,NPS,NM,,https://www.nps.gov/petr/
,,Pictured Rocks,NL,NPS,MI,,https://www.nps.gov/piro/
,,Pinnacles,NP,NPS,CA,,https://www.nps.gov/pinn/
,,Pipe Spring,NM,NPS,AZ,,https://www.nps.gov/pisp/
,,Pipestone,NM,NPS,MN,,https://www.nps.gov/pipe/
,,Piscataway,P,NPS,MD,,https://www.nps.gov/pisc/
,,Point Reyes,NS,NPS,CA,,https://www.nps.gov/pore/
,,Pompeys Pillar,NM,BLM,MT,,https://www.blm.gov/visit/pompeys-pillar-national-monument
,,Port Chicago,NMEM,NPS,CA,,https://www.nps.gov/poch/
,,Potomac Heritage,NST,NPS,"MD, DC, VA, PA",,https://www.nps.gov/pohe/
,,Poverty Point,NM,NPS,LA,,https://www.nps.gov/popo/
,,Prehistoric Trackways,NM,BLM,NM,,https://www.blm.gov/visit/ptnm
,,President Lincoln and Soldiers’ Home,NM,NPS,DC,,https://www.nps.gov/nr/travel/presidents/lincoln_cottage.html
,,President William Jefferson Clinton Birthplace Home,NHS,NPS,AR,,https://www.nps.gov/wicl/
,,Prince William Forest,P,NPS,VA,,https://www.nps.gov/prwi/
,,Pullman,NHP,NPS,IL,,https://www.nps.gov/pull/
,,Pu’uhonua o Hōnaunau,NHP,NPS,HI,,https://www.nps.gov/puho/
,,Pu’ukoholā Heiau,NHS,NPS,HI,,https://www.nps.gov/puhe/
,,Rainbow Bridge,NM,NPS,UT,,https://www.nps.gov/rabr/
,,Reconstruction Era,NHP,NPS,SC,,https://www.nps.gov/reer/
,,Red Cliffs,NCA,BLM,UT,,https://www.blm.gov/programs/national-conservation-lands/utah/red-cliffs-nca
,,Red Rock Canyon,NCA,BLM,NV,,https://www.blm.gov/programs/national-conservation-lands/nevada/red-rock-canyon
,,Redwood,NP,NPS,CA,,https://www.nps.gov/redw/
,,Richmond,NBP,NPS,VA,,https://www.nps.gov/rich/
,,Rio Grande,WSR,NPS,TX,,https://www.nps.gov/rigr/
,,River Raisin,NBP,NPS,MI,,https://www.nps.gov/rira
,,Rock Creek,P,NPS,DC,,https://www.nps.gov/rocr/
,,Rocky Mountain,NP,NPS,CO,,https://www.nps.gov/romo/
,,Roger Williams,NMEM,NPS,RI,,https://www.nps.gov/rowi/
,,Rosie the Riveter World War II Home Front,NHP,NPS,CA,,https://www.nps.gov/rori
,,Ross Lake,NRA,NPS,WA,,https://www.nps.gov/rola/
,,Russell Cave,NM,NPS,AL,,https://www.nps.gov/ruca/
,,Río Grande del Norte,NM,BLM,NM,,https://www.blm.gov/visit/rgdnnm
,,Sagamore Hill,NHS,NPS,NY,,https://www.nps.gov/sahi/
,,Saguaro,NP,NPS,AZ,,https://www.nps.gov/sagu/
,,Saint Croix,NSR,NPS,WI,,https://www.nps.gov/sacn/
,,Saint Croix Island,IHS,NPS,ME,,https://www.nps.gov/sacr/
,,Saint Paul’s Church,NHS,NPS,NY,,https://www.nps.gov/sapa/
,,Saint-Gaudens,NHP,NPS,NH,,https://www.nps.gov/saga/
,,Sainte Geneviève,NHP,NPS,MO,,https://www.nps.gov/stge/
,,Salem Maritime,NHS,NPS,MA,,https://www.nps.gov/sama/
,,Salinas Pueblo Missions,NM,NPS,NM,,https://www.nps.gov/sapu/
,,Salt River Bay,NHP&EP,NPS,VI,,https://www.nps.gov/sari/
,,San Antonio Missions,NHP,NPS,TX,,https://www.nps.gov/saan/
,,San Francisco Maritime,NHP,NPS,CA,,https://www.nps.gov/safr/
,,San Gabriel Mountains,NM,USFS,CA,,https://www.fs.fed.us/visit/san-gabriel-mountains-national-monument
,,San Juan,NHS,NPS,PR,,https://www.nps.gov/saju/
,,San Juan Island,NHP,NPS,WA,,https://www.nps.gov/sajh/
,,San Juan Islands,NM,BLM,WA,,https://www.blm.gov/or/resources/recreation/sanjuans/
,,San Pedro Riparian,NCA,BLM,AZ,,https://www.blm.gov/visit/san-pedro
,,Sand Creek Massacre,NHS,NPS,CO,,https://www.nps.gov/sand/
,,Sand to Snow,NM,BLM,CA,,https://www.blm.gov/visit/sand-to-snow-national-monument
,,Santa Monica Mountains,NRA,NPS,CA,,https://www.nps.gov/samo/
,,Santa Rosa and San Jacinto Mountains,NM,BLM,CA,,https://www.blm.gov/visit/santa-rosa-san-jacinto-mountains-national-monument
,,Saratoga,NHP,NPS,NY,,https://www.nps.gov/sara/
,,Saugus Iron Works,NHS,NPS,MA,,https://www.nps.gov/sair/
,,Scotts Bluff,NM,NPS,NE,,https://www.nps.gov/scbl/
,,Sequoia,NP,NPS,CA,,https://www.nps.gov/seki/
,,Shenandoah,NP,NPS,VA,,https://www.nps.gov/shen/
,,Shiloh,NMP,NPS,"TN, MS",,https://www.nps.gov/shil/
,,Sitka,NHP,NPS,AK,,https://www.nps.gov/sitk/
,,Sleeping Bear Dunes,NL,NPS,MI,,https://www.nps.gov/slbe/
,,Sloan Canyon,NCA,BLM,NV,,https://www.blm.gov/programs/national-conservation-lands/nevada/sloan-canyon-nca
,,Sonoran Desert,NM,BLM,AZ,,https://www.blm.gov/visit/sonoran-desert
,,Springfield 1908 Race Riot,NM,NPS,IL,,https://www.nps.gov/spra
,,Springfield Armory,NHS,NPS,MA,,https://www.nps.gov/spar/
,,St Francis Dam Disaster,NM,USFS,CA,,https://roadtrippers.com/magazine/st-francis-dam-disaster-monument/
,,Statue of Liberty,NM,NPS,"NY, NJ",,https://www.nps.gov/stli/
,,Steamtown,NHS,NPS,PA,,https://www.nps.gov/stea/
,,Steese,NCA,BLM,AK,,https://www.blm.gov/programs/national-conservation-lands/alaska/steese
,,Stones River,NB,NPS,TN,,https://www.nps.gov/stri/
,,Stonewall,NM,NPS,NY,,https://www.nps.gov/ston/index.htm
,,Sunset Crater Volcano,NM,NPS,AZ,,https://www.nps.gov/sucr/
,,Sáttítla Highlands,NM,USFS,CA,,https://www.fs.usda.gov/visit/national-monuments/sattitla-highlands-national-monument
,,Tallgrass Prairie,NPRES,NPS,KS,,https://www.nps.gov/tapr/
,,Thaddeus Kosciuszko,NMEM,NPS,PA,,https://www.nps.gov/thko/
,,The White House,–,NPS,DC,,https://www.nps.gov/whho/
,,Theodore Roosevelt,NP,NPS,ND,,https://www.nps.gov/thro/
,,Theodore Roosevelt Birthplace,NHS,NPS,NY,,https://www.nps.gov/thrb/
,,Theodore Roosevelt Inaugural,NHS,NPS,NY,,https://www.nps.gov/thri/
,,Theodore Roosevelt Island,NMEM,NPS,DC,,https://www.nps.gov/this/
,,Thomas Edison,NHP,NPS,NJ,,https://www.nps.gov/edis/
,,Thomas Jefferson Memorial,NMEM,NPS,DC,,https://www.nps.gov/thje/
,,Thomas Stone,NHS,NPS,MD,,https://www.nps.gov/thst/
,,Timpanogos Cave,NM,NPS,UT,,https://www.nps.gov/tica/
,,Timucuan,EHP,NPS,FL,,https://www.nps.gov/timu/
,,Tonto,NM,NPS,AZ,,https://www.nps.gov/tont/
,,Tule Lake,NM,NPS,CA,,https://www.nps.gov/tule/index.htm
,,Tule Springs Fossil Beds,NM,NPS,NV,,https://www.nps.gov/tusk/
,,Tumacácori,NHP,NPS,AZ,,https://www.nps.gov/tuma/
,,Tupelo,NB,NPS,MS,,https://www.nps.gov/tupe/
,,Tuskegee Airmen,NHS,NPS,AL,,https://www.nps.gov/tuai/
,,Tuskegee Institute,NHS,NPS,AL,,https://www.nps.gov/tuin/
,,Tuzigoot,NM,NPS,AZ,,https://www.nps.gov/tuzi/
,,Ulysses S. Grant,NHS,NPS,MO,,https://www.nps.gov/ulsg/
,,Upper Delaware,S&RR,NPS,"PA, NY",,https://www.nps.gov/upde/
,,Upper Missouri River Breaks,NM,BLM,MT,,https://www.blm.gov/programs/national-conservation-lands/montana-dakotas/upper-missouri-river-breaks
,,Valles Caldera,NPRES,NPS,NM,,https://www.nps.gov/vall/
,,Valley Forge,NHP,NPS,PA,,https://www.nps.gov/vafo/
,,Vanderbilt Mansion,NHS,NPS,NY,,https://www.nps.gov/vama/
,,Vermilion Cliffs,NM,BLM,AZ,,https://www.blm.gov/visit/vermilion-cliffs
,,Vicksburg,NMP,NPS,"MS, LA",,https://www.nps.gov/vick/
,,Vietnam Veterans,NMEM,NPS,DC,,https://www.nps.gov/vive/
,,Virgin Islands,NP,NPS,VI,,https://www.nps.gov/viis/
,,Virgin Islands Coral Reef,NM,NPS,VI,,https://www.nps.gov/vicr/
,,Voyageurs,NP,NPS,MN,,https://www.nps.gov/voya/
,,Waco Mammoth,NM,NPS,TX,,https://www.nps.gov/waco/
,,Walnut Canyon,NM,NPS,AZ,,https://www.nps.gov/waca/
,,War in the Pacific,NHP,NPS,GU,,https://www.nps.gov/wapa/
,,Washington Monument,NMEM,NPS,DC,,https://www.nps.gov/wamo/
,,Washita Battlefield,NHS,NPS,OK,,https://www.nps.gov/waba/
,,Weir Farm,NHS,NPS,CT,,https://www.nps.gov/wefa/
,,Whiskeytown-Shasta-Trinity,NRA,NPS,CA,,https://www.nps.gov/whis/
,,White Sands,NP,NPS,NM,,https://www.nps.gov/whsa/
,,Whitman Mission,NHS,NPS,WA,,https://www.nps.gov/whmi/
,,William Howard Taft,NHS,NPS,OH,,https://www.nps.gov/wiho/
,,Wilson’s Creek,NB,NPS,MO,,https://www.nps.gov/wicr/
,,Wind Cave,NP,NPS,SD,,https://www.nps.gov/wica/
,,Wolf Trap Farm,P,NPS,VA,,https://www.nps.gov/wotr/
,,Women’s Rights,NHP,NPS,NY,,https://www.nps.gov/wori/
,,World War I,NMEM,NPS,DC,,https://www.nps.gov/nama/planyourvisit/National-World-War-I-Memorial.htm
,,World War II,NMEM,NPS,DC,,https://www.nps.gov/wwii/
,,Wrangell-St. Elias,NP,NPS,AK,,https://www.nps.gov/wrst/
,,Wrangell-St. Elias,NPRES,NPS,AK,,https://www.nps.gov/wrst/
,,Wright Brothers,NMEM,NPS,NC,,https://www.nps.gov/wrbr/
,,Wupatki,NM,NPS,AZ,,https://www.nps.gov/wupa/
,,Yellowstone,NP,NPS,"WY, MT, ID",,https://www.nps.gov/yell/
,,Yosemite,NP,NPS,CA,,https://www.nps.gov/yose/
,,Yucca House,NM,NPS,CO,,https://www.nps.gov/yuho/
,,Yukon-Charley Rivers,NPRES,NPS,AK,,https://www.nps.gov/yuch/
,,Zion,NP,NPS,UT,,https://www.nps.gov/zion/
