Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Carrizo Plain,NM,BLM,CA,,https://www.blm.gov/programs/national-conservation-lands/california/carrizo-plain-national-monument
,,Carter G. Woodson Home,NHS,NPS,DC,,https://www.nps.gov/cawo/
,,Casa Grande Ruins,NM,NPS,AZ,,https://www.nps.gov/cagr/
,,Cascade–Siskiyou,NM,BLM,OR,,https://www.blm.gov/programs/national-conservation-lands/national-monuments/oregon-washington/cascade-siskiyou
,,Castillo de San Marcos,NM,NPS,FL,,https://www.nps.gov/casa/
,,Castle Clinton,NM,NPS,NY,,https://www.nps.gov/cacl/
,,Castle Mountains,NM,NPS,CA,,https://www.nps.gov/camo/
,,Castner Range,NM,Army,TX,,https://www.denix.osd.mil/crnm/
,,Catoctin Mountain,P,NPS,MD,,https://www.nps.gov/cato/
,,Cedar Breaks,NM,NPS,UT,,https://www.nps.gov/cebr/
,,Cedar Creek and Belle Grove,NHP,NPS,VA,,https://www.nps.gov/cebe/
,,Chaco Culture,NHP,NPS,NM,,https://www.nps.gov/chcu/
,,Chamizal,NMEM,NPS,TX,,https://www.nps.gov/cham/
,,Channel Islands,NP,NPS,CA,,https://www.nps.gov/chis/
,,Charles Pinckney,NHS,NPS,SC,,https://www.nps.gov/chpi/
,,Charles Young Buffalo Soldiers,NM,NPS,OH,,https://www.nps.gov/chyo/
,,Chattahoochee River,NRA,NPS,GA,,https://www.nps.gov/chat/
,,Chesapeake & Ohio Canal,NHP,NPS,"MD, DC",,https://www.nps.gov/choh/
,,Chickamauga & Chattanooga,NMP,NPS,"GA, TN",,https://www.nps.gov/chch/
,,Chickasaw,NRA,NPS,OK,,https://www.nps.gov/chic/
,,Chimney Rock,NM,USFS,CO,,https://www.fs.fed.us/visit/destination/chimney-rock-national-monument
,,Chiricahua,NM,NPS,AZ,,https://www.nps.gov/chir/
,,Christiansted,NHS,NPS,VI,,https://www.nps.gov/chri/
,,Chuckwalla,NM,BLM,CA,,https://www.blm.gov/programs/national-conservation-lands/california/chuckwalla
,,City of Rocks,NRES,NPS,ID,,https://www.nps.gov/ciro/
,,Clara Barton,NHS,NPS,MD,,https://www.nps.gov/clba/
,,Colonial,NHP,NPS,VA,,https://www.nps.gov/colo/
,,Colorado,NM,NPS,CO,,https://www.nps.gov/colm/
,,Congaree,NP,NPS,SC,,https://www.nps.gov/cong/
,,Constitution Gardens,–,NPS,DC,,https://www.nps.gov/coga/
,,Coronado,NMEM,NPS,AZ,,https://www.nps.gov/coro/
,,Cowpens,NB,NPS,SC,,https://www.nps.gov/cowp/
,,Crater Lake,NP,NPS,OR,,https://www.nps.gov/crla/
,,Craters of the Moon,NPRES,NPS,ID,,https://www.nps.gov/crmo/
,,Craters of the Moon (BLM),NM,BLM,ID,,https://www.blm.gov/programs/national-conservation-lands/idaho/craters-of-the-moon
,,Craters of the Moon (NPS),NM,NPS,ID,,https://www.nps.gov/crmo/
,,Cumberland Gap,NHP,NPS,"KY, VA, TN",,https://www.nps.gov/cuga/
,,Cumberland Island,NS,NPS,GA,,https://www.nps.gov/cuis/
,,Curecanti,NRA,NPS,CO,,https://www.nps.gov/cure/
,,Cuyahoga Valley,NP,NPS,OH,,https://www.nps.gov/cuva/
,,César E. Chávez,NM,NPS,CA,,https://www.nps.gov/cech/
,,Dayton Aviation Heritage,NHP,NPS,OH,,https://www.nps.gov/daav/
,,De Soto,NMEM,NPS,FL,,https://www.nps.gov/deso/
,,Death Valley,NP,NPS,"CA, NV",,https://www.nps.gov/deva/
,,Delaware Water Gap,NRA,NPS,"PA, NJ",,https://www.nps.gov/dewa/
,,Denali,NP,NPS,AK,,https://www.nps.gov/dena/
,,Denali,NPRES,NPS,AK,,https://www.nps.gov/dena/
,,Devils Postpile,NM,NPS,CA,,https://www.nps.gov/depo/
,,Devils Tower,NM,NPS,WY,,https://www.nps.gov/deto/
,,Dinosaur,NM,NPS,"UT, CO",,https://www.nps.gov/dino/
,,Dominguez-Escalante,NCA,BLM,CO,,https://www.blm.gov/programs/national-conservation-lands/colorado/dominguez-escalante-nca
,,Dry Tortugas,NP,NPS,FL,,https://www.nps.gov/drto/
,,Dwight D Eisenhower Memorial,NMEM,NPS,DC,,https://www.nps.gov/ddem
,,Ebey’s Landing,NHRES,NPS,WA,,https://www.nps.gov/ebla/
,,Edgar Allan Poe,NHS,NPS,PA,,https://www.nps.gov/edal/
,,Effigy Mounds,NM,NPS,IA,,https://www.nps.gov/efmo/
,,Eisenhower,NHS,NPS,PA,,https://www.nps.gov/eise/
,,El Malpais,NM,NPS,NM,,https://www.nps.gov/elma/
,,El Malpais,NCA,BLM,NM,,https://www.blm.gov/visit/el-malpais-nca
,,El Morro,NM,NPS,NM,,https://www.nps.gov/elmo/
,,Eleanor Roosevelt,NHS,NPS,NY,,https://www.nps.gov/elro/
,,Emmett Till and Mamie Till-Mobley,NM,NPS,"IL, MS",,https://www.nps.gov/till/index.htm
,,Eugene O’Neill,NHS,NPS,CA,,https://www.nps.gov/euon/
,,Everglades,NP,NPS,FL,,https://www.nps.gov/ever/
,,Federal Hall,NMEM,NPS,NY,,https://www.nps.gov/feha/
,,Fire Island,NS,NPS,NY,,https://www.nps.gov/fiis/
,,First Ladies,NHS,NPS,OH,,https://www.nps.gov/fila/
,,First State,NHP,NPS,DE,,https://www.nps.gov/frst/
,,Flight 93,NMEM,NPS,PA,,https://www.nps.gov/flni/
,,Florissant Fossil Beds,NM,NPS,CO,,https://www.nps.gov/flfo/
,,Ford’s Theatre,NHS,NPS,DC,,https://www.nps.gov/foth/
,,Fort Bowie,NHS,NPS,AZ,,https://www.nps.gov/fobo/
,,Fort Caroline,NMEM,NPS,FL,,https://www.nps.gov/foca/
,,Fort Davis,NHS,NPS,TX,,https://www.nps.gov/foda/
,,Fort Donelson,NB,NPS,"TN, KY",,https://www.nps.gov/fodo/
,,Fort Frederica,NM,NPS,GA,,https://www.nps.gov/fofr/
,,Fort Laramie,NHS,NPS,WY,,https://www.nps.gov/fola/
,,Fort Larned,NHS,NPS,KS,,https://www.nps.gov/fols/
,,Fort Matanzas,NM,NPS,FL,,https://www.nps.gov/foma/
,,Fort McHenry,NM&HisShr,NPS,MD,,https://www.nps.gov/fomc/
,,Fort Monroe,NM,NPS,VA,,https://www.nps.gov/fomr
,,Fort Necessity,NB,NPS,PA,,https://www.nps.gov/fone/
,,Fort Ord,NM,BLM,CA,,https://www.blm.gov/programs/national-conservation-lands/california/fort-ord-national-monument
,,Fort Point,NHS,NPS,CA,,https://www.nps.gov/fopo/
,,Fort Pulaski,NM,NPS,GA,,https://www.nps.gov/fopu/
,,Fort Raleigh,NHS,NPS,NC,,https://www.nps.gov/fora/
,,Fort Scott,NHS,NPS,KS,,https://www.nps.gov/fosc/
,,Fort Smith,NHS,NPS,AR,,https://www.nps.gov/fosm/
,,Fort Stanton-Snowy River Cave,NCA,BLM,NM,,https://www.blm.gov/visit/fort-stanton-snowy-river-cave-nca
,,Fort Stanwix,NM,NPS,NY,,https://www.nps.gov/fost/
,,Fort Sumter and Fort Moultrie,NHP,NPS,SC,,https://www.nps.gov/fosu
,,Fort Union,NM,NPS,NM,,https://www.nps.gov/foun/
,,Fort Union Trading Post,NHS,NPS,ND,,https://www.nps.gov/fous/
,,Fort Vancouver,NHS,NPS,"WA, OR",,https://www.nps.gov/fova/
,,Fort Washington,P,NPS,MD,,https://www.nps.gov/fowa/
